package,count,year
Rcpp,73,2012
Rcpp,637,2016
RcppArmadillo,20,2012
RcppArmadillo,219,2016
RcppEigen,3,2012
RcppEigen,58,2016
bigmemory,1,2012
bigmemory,5,2016
Matrix,4,2012
Matrix,4,2016
qtbase,1,2012
qtbase,2,2016
sp,1,2012
sp,2,2016
digest,0,2012
digest,2,2016
RSQLite,1,2012
RSQLite,1,2016
bdsmatrix,0,2012
bdsmatrix,1,2016
RcppClassic,0,2012
RcppClassic,1,2016
testthat,0,2012
testthat,1,2016
ggplot2,0,2012
ggplot2,0,2016
reshape2,0,2012
reshape2,0,2016
sacles,0,2012
sacles,0,2016
