"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-12","00:36:24",787126,"2.15.1","x86_64","mingw32","lfe","1.4-731","US",1
"2012-10-12","00:37:05",180628,"2.15.1","x86_64","mingw32","bdsmatrix","1.3","US",1
"2012-10-12","00:37:10",1306838,"2.15.1","x86_64","mingw32","plm","1.2-10","US",1
"2012-10-12","00:26:07",11163,"2.15.1","x86_64","linux-gnu","RColorBrewer","1.0-5","US",2
"2012-10-12","00:26:33",537662,"2.15.1","x86_64","linux-gnu","rJava","0.9-3","US",2
"2012-10-12","00:26:34",330832,"2.15.1","x86_64","linux-gnu","iplots","1.1-4","US",2
"2012-10-12","00:33:26",330841,"2.15.1","x86_64","linux-gnu","iplots","1.1-4","US",2
"2012-10-12","00:49:15",1388921,"2.13.1","x86_64","linux-gnu","survival","2.36-14","US",3
"2012-10-12","00:33:25",537671,"2.15.1","x86_64","linux-gnu","rJava","0.9-3","US",2
"2012-10-12","00:50:16",70130,"2.13.1","x86_64","linux-gnu","KMsurv","0.1-4","US",3
"2012-10-12","00:28:48",1427621,"2.15.1","x86_64","linux-gnu","maps","2.2-6","US",2
"2012-10-12","00:28:20",333463,"2.15.1","x86_64","linux-gnu","car","2.0-15","US",2
"2012-10-12","00:29:03",683442,"2.15.1","x86_64","linux-gnu","shape","1.4.0","US",2
"2012-10-12","00:30:09",330841,"2.15.1","x86_64","linux-gnu","iplots","1.1-4","US",2
"2012-10-12","00:30:09",537671,"2.15.1","x86_64","linux-gnu","rJava","0.9-3","US",2
"2012-10-12","00:54:36",27123,"2.13.1","x86_64","linux-gnu","muhaz","1.2.5","US",3
"2012-10-12","01:46:34",27138,"2.13.1","x86_64","linux-gnu","muhaz","1.2.5","US",3
"2012-10-12","01:18:47",353697,"2.13.1","x86_64","linux-gnu","epiR","0.9-43","US",3
"2012-10-12","01:04:23",124174,"2.15.1","x86_64","darwin9.8.0","Defaults","1.1-1","US",4
"2012-10-12","01:04:24",283532,"2.15.1","x86_64","darwin9.8.0","TTR","0.21-1","US",4
"2012-10-12","01:04:24",449742,"2.15.1","x86_64","darwin9.8.0","quantmod","0.3-17","US",4
"2012-10-12","03:45:16",1234782,"2.15.1","x86_64","mingw32","phangorn","1.6-5","CN",5
"2012-10-12","04:52:23",1943,NA,NA,NA,NA,NA,"US",6
"2012-10-12","05:47:29",1968,"2.15.1","x86_64","linux-gnu","memoise","0.1","US",7
"2012-10-12","05:47:27",11253,"2.15.1","x86_64","linux-gnu","RColorBrewer","1.0-5","US",7
"2012-10-12","05:47:28",19531,"2.15.1","x86_64","linux-gnu","gtable","0.1.1","US",7
"2012-10-12","05:47:28",88311,"2.15.1","x86_64","linux-gnu","munsell","0.4","US",7
"2012-10-12","05:47:30",2311597,"2.15.1","x86_64","linux-gnu","ggplot2","0.9.2.1","US",7
"2012-10-12","05:47:28",42399,"2.15.1","x86_64","linux-gnu","digest","0.5.2","US",7
"2012-10-12","05:47:28",9645,"2.15.1","x86_64","linux-gnu","labeling","0.1","US",7
"2012-10-12","05:47:27",30518,"2.15.1","x86_64","linux-gnu","dichromat","1.2-4","US",7
"2012-10-12","05:47:29",537412,"2.15.1","x86_64","linux-gnu","proto","0.3-9.2","US",7
"2012-10-12","05:47:27",337191,"2.15.1","x86_64","linux-gnu","colorspace","1.1-1","US",7
"2012-10-12","05:47:29",39082,"2.15.1","x86_64","linux-gnu","scales","0.2.2","US",7
"2012-10-12","05:47:29",1953163,"2.15.0","x86_64","linux-gnu","reshape2","1.2.1","US",7
"2012-10-12","06:39:22",150833,"2.15.0","x86_64","linux-gnu","RcppClassic","0.9.2","FI",8
"2012-10-12","06:39:22",19330,"2.15.1","x86_64","mingw32","RcppExamples","0.1.4","FI",8
