lib,Category,C2
stargazer,ReproducibleResearch,science computing
suRtex,ReproducibleResearch,science computing
table1xls,ReproducibleResearch,science computing
texreg,ReproducibleResearch,science computing
tth,ReproducibleResearch,science computing
NMOF,ReproducibleResearch,science computing
papeR,ReproducibleResearch,science computing
covRobust,Robust,science computing
coxrobust,Robust,science computing
distr,Robust,science computing
FRB,Robust,science computing
lqmm,Robust,science computing
MASS,Robust,science computing
multinomRob,Robust,science computing
mvoutlier,Robust,science computing
quantreg,Robust,science computing
RandVar,Robust,science computing
rgam,Robust,science computing
RobAStBase,Robust,science computing
robfilter,Robust,science computing
RobLox,Robust,science computing
RobLoxBioC,Robust,science computing
RobRex,Robust,science computing
robust,Robust,science computing
RobustAFT,Robust,science computing
robustbase,Robust,science computing
robustlmm,Robust,science computing
robustX,Robust,science computing
ROptEst,Robust,science computing
ROptRegTS,Robust,science computing
rrcov,Robust,science computing
rrcovHD,Robust,science computing
rrcovNA,Robust,science computing
sandwich,Robust,science computing
wle,Robust,science computing
RSKC,Robust,science computing
drgee,Robust,science computing
GSE,Robust,science computing
OutlierDC,Robust,science computing
robcor,Robust,science computing
RobPer,Robust,science computing
RobRSVD,Robust,science computing
robumeta,Robust,science computing
ssmrob,Robust,science computing
OutlierDM,Robust,science computing
mblm,Robust,science computing
rsig,Robust,science computing
georob,Robust,science computing
robeth,Robust,science computing
robustDA,Robust,science computing
robustgam,Robust,science computing
robustloggamma,Robust,science computing
robustreg,Robust,science computing
ror,Robust,science computing
rorutadis,Robust,science computing
acepack,SocialSciences,social science business
alr3,SocialSciences,social science business
