lib,Category,C2
robumeta,MetaAnalysis,LifeScience
metap,MetaAnalysis,LifeScience
RcmdrPlugin.EZR,MetaAnalysis,LifeScience
CAMAN,MetaAnalysis,LifeScience
ecoreg,MetaAnalysis,LifeScience
ipdmeta,MetaAnalysis,LifeScience
metaplus,MetaAnalysis,LifeScience
metasens,MetaAnalysis,LifeScience
MAVIS,MetaAnalysis,LifeScience
forestplot,MetaAnalysis,LifeScience
CopulaREMADA,MetaAnalysis,LifeScience
EasyStrata,MetaAnalysis,LifeScience
metaRNASeq,MetaAnalysis,LifeScience
abind,Multivariate,LifeScience
ade4,Multivariate,LifeScience
amap,Multivariate,LifeScience
aplpack,Multivariate,LifeScience
ash,Multivariate,LifeScience
bayesm,Multivariate,LifeScience
ca,Multivariate,LifeScience
calibrate,Multivariate,LifeScience
car,Multivariate,LifeScience
caret,Multivariate,LifeScience
class,Multivariate,LifeScience
clue,Multivariate,LifeScience
cluster,Multivariate,LifeScience
clusterGeneration,Multivariate,LifeScience
clusterSim,Multivariate,LifeScience
clv,Multivariate,LifeScience
cocorresp,Multivariate,LifeScience
copula,Multivariate,LifeScience
corpcor,Multivariate,LifeScience
covRobust,Multivariate,LifeScience
desirability,Multivariate,LifeScience
dr,Multivariate,LifeScience
e1071,Multivariate,LifeScience
earth,Multivariate,LifeScience
ellipse,Multivariate,LifeScience
energy,Multivariate,LifeScience
eRm,Multivariate,LifeScience
FactoMineR,Multivariate,LifeScience
FAiR,Multivariate,LifeScience
fastICA,Multivariate,LifeScience
feature,Multivariate,LifeScience
fgac,Multivariate,LifeScience
fpc,Multivariate,LifeScience
fso,Multivariate,LifeScience
gclus,Multivariate,LifeScience
GenKern,Multivariate,LifeScience
geometry,Multivariate,LifeScience
geozoo,Multivariate,LifeScience
gmodels,Multivariate,LifeScience
GPArotation,Multivariate,LifeScience
hddplot,Multivariate,LifeScience
Hmisc,Multivariate,LifeScience
homals,Multivariate,LifeScience
hybridHclust,Multivariate,LifeScience
ICS,Multivariate,LifeScience
ICSNP,Multivariate,LifeScience
iplots,Multivariate,LifeScience
JADE,Multivariate,LifeScience
kernlab,Multivariate,LifeScience
KernSmooth,Multivariate,LifeScience
kknn,Multivariate,LifeScience
klaR,Multivariate,LifeScience
kohonen,Multivariate,LifeScience
ks,Multivariate,LifeScience
lattice,Multivariate,LifeScience
ltm,Multivariate,LifeScience
mAr,Multivariate,LifeScience
MASS,Multivariate,LifeScience
Matrix,Multivariate,LifeScience
matrixcalc,Multivariate,LifeScience
mclust,Multivariate,LifeScience
MCMCpack,Multivariate,LifeScience
mda,Multivariate,LifeScience
mice,Multivariate,LifeScience
misc3d,Multivariate,LifeScience
mitools,Multivariate,LifeScience
mix,Multivariate,LifeScience
mnormt,Multivariate,LifeScience
MNP,Multivariate,LifeScience
monomvn,Multivariate,LifeScience
mvnmle,Multivariate,LifeScience
mvnormtest,Multivariate,LifeScience
mvoutlier,Multivariate,LifeScience
mvtnorm,Multivariate,LifeScience
nFactors,Multivariate,LifeScience
pan,Multivariate,LifeScience
paran,Multivariate,LifeScience
party,Multivariate,LifeScience
pcaPP,Multivariate,LifeScience
PearsonICA,Multivariate,LifeScience
plsgenomics,Multivariate,LifeScience
poLCA,Multivariate,LifeScience
polycor,Multivariate,LifeScience
ppls,Multivariate,LifeScience
prim,Multivariate,LifeScience
proxy,Multivariate,LifeScience
psy,Multivariate,LifeScience
PTAk,Multivariate,LifeScience
rda,Multivariate,LifeScience
relaimpo,Multivariate,LifeScience
rgl,Multivariate,LifeScience
robustbase,Multivariate,LifeScience
ROCR,Multivariate,LifeScience
rpart,Multivariate,LifeScience
rrcov,Multivariate,LifeScience
sca,Multivariate,LifeScience
scatterplot3d,Multivariate,LifeScience
sem,Multivariate,LifeScience
SensoMineR,Multivariate,LifeScience
seriation,Multivariate,LifeScience
simba,Multivariate,LifeScience
smatr,Multivariate,LifeScience
sn,Multivariate,LifeScience
spam,Multivariate,LifeScience
SparseM,Multivariate,LifeScience
SpatialNP,Multivariate,LifeScience
superpc,Multivariate,LifeScience
trimcluster,Multivariate,LifeScience
tsfa,Multivariate,LifeScience
vcd,Multivariate,LifeScience
vegan,Multivariate,LifeScience
VGAM,Multivariate,LifeScience
VIM,Multivariate,LifeScience
xgobi,Multivariate,LifeScience
YaleToolkit,Multivariate,LifeScience
concor,Multivariate,LifeScience
pls,Multivariate,LifeScience
clustvarsel,Multivariate,LifeScience
denpro,Multivariate,LifeScience
cramer,Multivariate,LifeScience
cwhmisc,Multivariate,LifeScience
delt,Multivariate,LifeScience
corpora,NaturalLanguageProcessing,text mining
gsubfn,NaturalLanguageProcessing,text mining
kernlab,NaturalLanguageProcessing,text mining
KoNLP,NaturalLanguageProcessing,text mining
koRpus,NaturalLanguageProcessing,text mining
maxent,NaturalLanguageProcessing,text mining
openNLP,NaturalLanguageProcessing,text mining
qdap,NaturalLanguageProcessing,text mining
