"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-13","00:15:28",2757284,"2.15.1","x86_64","mingw32","fields","6.6.3","CO",1
"2012-10-13","00:15:54",2157609,"2.15.1","x86_64","mingw32","gstat","1.0-14","CO",1
"2012-10-13","00:12:23",862028,"2.15.1","x86_64","mingw32","zoo","1.7-8","CO",1
"2012-10-13","00:12:29",276928,"2.15.1","x86_64","mingw32","lmtest","0.9-30","CO",1
"2012-10-13","00:12:33",40273,"2.15.1","x86_64","mingw32","moments","0.13","CO",1
"2012-10-13","00:09:24",1741369,"2.15.1","x86_64","mingw32","ProbForecastGOP","1.3.2","CO",1
"2012-10-13","00:09:43",2301104,"2.15.1","x86_64","mingw32","spacetime","0.8-0","CO",1
"2012-10-13","00:09:50",526229,"2.15.1","x86_64","mingw32","xts","0.8-6","CO",1
"2012-10-13","00:09:54",862039,"2.15.1","x86_64","mingw32","zoo","1.7-8","CO",1
"2012-10-13","00:10:01",1125237,"2.15.1","x86_64","mingw32","sp","1.0-1","CO",1
"2012-10-13","00:10:13",2157620,"2.15.1","x86_64","mingw32","gstat","1.0-14","CO",1
"2012-10-13","00:08:22",288371,"2.15.1","x86_64","mingw32","vardiag","0.1-5","CO",1
"2012-10-13","00:08:28",1626816,"2.15.1","x86_64","mingw32","pastecs","1.3-11","CO",1
"2012-10-13","00:08:37",196556,"2.15.1","x86_64","mingw32","tweedie","2.1.3","CO",1
"2012-10-13","00:08:38",150055,"2.15.1","x86_64","mingw32","statmod","1.4.16","CO",1
"2012-10-13","00:08:39",431420,"2.15.1","x86_64","mingw32","joineR","1.0-2","CO",1
"2012-10-13","00:08:44",872085,"2.15.1","x86_64","mingw32","spam","0.29-2","CO",1
"2012-10-13","00:08:50",949971,"2.15.1","x86_64","mingw32","RandomFields","2.0.59","CO",1
"2012-10-13","00:09:07",2757295,"2.15.1","x86_64","mingw32","fields","6.6.3","CO",1
