"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-09","00:01:59",874042,"2.15.1","x86_64","mingw32","MASS","7.3-22","CN",1
"2012-10-09","00:19:10",874052,NA,NA,NA,"MASS","7.3-22","US",2
"2012-10-09","00:30:25",1049,NA,NA,NA,NA,NA,"US",3
"2012-10-09","02:12:34",520952,"2.15.1","x86_64","darwin9.8.0","colorspace","1.1-1","US",4
"2012-10-09","02:12:34",71038,"2.15.1","x86_64","darwin9.8.0","stringr","0.6.1","US",4
"2012-10-09","02:12:34",22896,"2.15.1","x86_64","darwin9.8.0","RColorBrewer","1.0-5","US",4
"2012-10-09","02:12:35",59590,"2.15.1","x86_64","darwin9.8.0","dichromat","1.2-4","US",4
"2012-10-09","02:12:35",126055,"2.15.1","x86_64","darwin9.8.0","munsell","0.4","US",4
"2012-10-09","02:12:35",35742,"2.15.1","x86_64","darwin9.8.0","labeling","0.1","US",4
"2012-10-09","02:12:36",681338,"2.15.1","x86_64","darwin9.8.0","plyr","1.7.1","US",4
"2012-10-09","02:12:36",126985,"2.15.1","x86_64","darwin9.8.0","digest","0.5.2","US",4
"2012-10-09","02:12:36",59460,"2.15.1","x86_64","darwin9.8.0","gtable","0.1.1","US",4
"2012-10-09","02:12:37",56923,"2.15.1","x86_64","darwin9.8.0","reshape2","1.2.1","US",4
"2012-10-09","02:12:37",167905,"2.15.1","x86_64","darwin9.8.0","scales","0.2.2","US",4
"2012-10-09","02:12:37",8440,"2.15.1","x86_64","darwin9.8.0","memoise","0.1","US",4
"2012-10-09","02:12:38",551007,"2.15.1","x86_64","linux-gnu","proto","0.3-9.2","US",4
"2012-10-09","02:12:40",2631396,"2.15.1","x86_64","linux-gnu","ggplot2","0.9.2.1","US",4
"2012-10-09","03:58:59",2011987,"2.15.1","x86_64","linux-gnu","gstat","1.0-14","FR",5
"2012-10-09","04:00:55",2094450,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",6
"2012-10-09","04:04:39",413105,"2.15.1","x86_64","mingw32","geoR","1.7-4","FR",5
"2012-10-09","04:17:41",49368,"2.15.1","x86_64","mingw32","geoR","1.7-4","FR",5
"2012-10-09","07:29:58",25434,"2.15.1","x86_64","mingw32","RColorBrewer","1.0-5","FR",7
"2012-10-09","07:30:02",1442813,"2.15.1","x86_64","mingw32","Hmisc","3.9-3","FR",7
"2012-10-09","07:30:08",2061745,"2.15.1","x86_64","mingw32","latticeExtra","0.6-24","FR",7
"2012-10-09","07:30:10",937683,"2.15.1","i386","mingw32","rms","3.5-0","FR",7
"2012-10-09","08:25:48",1693577,"2.15.1","i386","mingw32","aplpack","1.2.6","FR",7
"2012-10-09","08:26:02",1693585,"2.15.1","i386","mingw32","aplpack","1.2.6","FR",8
"2012-10-09","09:35:15",489210,"2.15.1","i386","mingw32","colorspace","1.1-1","CH",9
