"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-16","02:06:19",158338,"2.15.1","x86_64","linux-gnu","qcc","2.2","US",1
"2012-10-16","04:08:27",2120,NA,NA,NA,NA,NA,"US",2
"2012-10-16","10:45:38",644020,"2.15.1","x86_64","linux-gnu","distrEx","2.3.1","IT",3
"2012-10-16","10:32:18",155069,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","10:28:40",41910,"2.15.1","x86_64","linux-gnu","gtools","2.7.0","HU",4
"2012-10-16","10:28:41",709654,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","10:28:42",33796,"2.14.2","x86_64","darwin9.8.0","gmodels","2.15.3","HU",4
"2012-10-16","10:59:33",973008,"2.15.1","i386","mingw32","data.table","1.8.0","AU",5
"2012-10-16","10:50:38",125197,"2.15.1","x86_64","linux-gnu","reshape","0.8.4","DE",6
"2012-10-16","10:31:23",155066,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","10:31:23",4396,"2.15.1","x86_64","linux-gnu","vioplot","0.2","HU",4
"2012-10-16","11:22:05",155081,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","11:22:05",4411,"2.15.1","x86_64","linux-gnu","vioplot","0.2","HU",4
"2012-10-16","11:22:06",155069,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","11:22:06",4399,"2.15.1","x86_64","linux-gnu","vioplot","0.2","HU",4
"2012-10-16","11:22:17",4399,"2.15.1","x86_64","linux-gnu","vioplot","0.2","HU",4
"2012-10-16","11:22:17",155069,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","11:25:11",154984,"2.15.1","x86_64","linux-gnu","sm","2.2-4.1","HU",4
"2012-10-16","11:09:52",41913,"2.15.1","x86_64","linux-gnu","gtools","2.7.0","HU",4
"2012-10-16","11:09:52",33799,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:09:52",709657,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","11:09:52",709657,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","11:09:53",33799,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:09:56",41913,"2.15.1","x86_64","linux-gnu","gtools","2.7.0","HU",4
"2012-10-16","11:09:56",709657,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","11:09:57",33799,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:10:04",41913,"2.15.1","x86_64","linux-gnu","gtools","2.7.0","HU",4
"2012-10-16","11:10:04",709657,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","11:10:07",41913,"2.15.1","x86_64","linux-gnu","gtools","2.7.0","HU",4
"2012-10-16","11:10:07",709657,"2.15.1","x86_64","linux-gnu","gdata","2.12.0","HU",4
"2012-10-16","11:10:08",33799,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:10:05",33714,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:10:42",33714,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:11:46",33800,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
"2012-10-16","11:09:52",33721,"2.15.1","x86_64","linux-gnu","gmodels","2.15.3","HU",4
